"","x1","c1","x2","c2","x3","c3"
"x1",1,0.25,0.22900747723588,0.2,0.241808710005631,0.15
"c1",0.25,1,0.15,0.250070354170144,0.1,0.269049595942293
"x2",0.22900747723588,0.15,1,0.25,0.317517286243468,0.2
"c2",0.2,0.250070354170144,0.25,1,0.15,0.245818710885439
"x3",0.241808710005631,0.1,0.317517286243468,0.15,1,0.25
"c3",0.15,0.269049595942293,0.2,0.245818710885439,0.25,1
